algorithm,nodes,n,size,total_time,comm_time,comp_time
mpi_p2p_bloq,4,512,160,0.540290,0.538039,0.002250
mpi_p2p_bloq,4,512,160,0.557735,0.555581,0.002152
mpi_p2p_bloq,4,512,160,0.557744,0.554237,0.003505
mpi_p2p_bloq,4,512,160,0.553128,0.547714,0.005411
mpi_p2p_bloq,4,512,160,0.519994,0.517811,0.002181
mpi_p2p_bloq,4,1024,160,0.596789,0.547688,0.049091
mpi_p2p_bloq,4,1024,160,0.618466,0.574442,0.044015
mpi_p2p_bloq,4,1024,160,0.574549,0.526573,0.047968
mpi_p2p_bloq,4,1024,160,0.619267,0.576309,0.042950
mpi_p2p_bloq,4,1024,160,0.607599,0.566750,0.040840
mpi_p2p_bloq,4,2048,160,1.982137,0.800220,1.181870
mpi_p2p_bloq,4,2048,160,1.943816,0.804825,1.138947
mpi_p2p_bloq,4,2048,160,1.936913,0.818063,1.118813
mpi_p2p_bloq,4,2048,160,1.911485,0.783527,1.127921
mpi_p2p_bloq,4,2048,160,1.928575,0.879861,1.048670
mpi_p2p_bloq,4,4096,160,16.989241,5.775736,11.213450
mpi_p2p_bloq,4,4096,160,16.820407,4.990592,11.829751
mpi_p2p_bloq,4,4096,160,16.333933,4.345390,11.988492
mpi_p2p_bloq,4,4096,160,15.909381,4.329446,11.579859
mpi_p2p_bloq,4,4096,160,16.782764,4.982669,11.800046
mpi_p2p_nb,1,512,40,0.034066,0.021542,0.012523
mpi_p2p_nb,1,512,40,0.034565,0.018958,0.015605
mpi_p2p_nb,1,512,40,0.035184,0.024239,0.010944
mpi_p2p_nb,1,512,40,0.038923,0.017617,0.021305
mpi_p2p_nb,1,512,40,0.039357,0.022946,0.016410
mpi_p2p_nb,1,1024,40,0.236300,0.053632,0.182664
mpi_p2p_nb,1,1024,40,0.242427,0.056965,0.185458
mpi_p2p_nb,1,1024,40,0.234297,0.057767,0.176519
mpi_p2p_nb,1,1024,40,0.250421,0.061617,0.188792
mpi_p2p_nb,1,1024,40,0.239823,0.046909,0.192903
mpi_p2p_nb,1,2048,40,5.046705,0.307721,4.738972
mpi_p2p_nb,1,2048,40,5.468853,0.386633,5.082217
mpi_p2p_nb,1,2048,40,5.194119,0.378501,4.815606
